id,text,label,Comments
6,死机，还莫名其妙的错时间！,产品垃圾,
18,用了三四天竟然提示要没电，换电池？有点接受不了，一个月都没坚持住！,电池不耐用,
12,收到个坏的，开不了机，换电池也还是不行。。。,产品垃圾,
30,质量太差 换了一回还是坏的,产品垃圾,
42,垃圾  两天就坏了,产品垃圾,
54,也不是充电的.换电池的.告诉就只能用30天.问电池在哪买.售后啥的.客服都不搭理你.后悔.真心的,客服态度差,
66,中午到货到现在都系打不。?黑屏,屏幕出问题,
78,还行就是不能和~~链接，还要下软件才可以看，不好用，,蓝牙不稳定,
90,快递挺快，款式还可以，就是功能没他说得那么全，只能当电子表用了,操作不便#物流很快,
36,买完就降价，，太坑了,买完降价,
48,品质太差，一天后开不了，两天找不到！千万注意，准备退货了！,产品垃圾,
72,一点也不好用根本就没有来电提醒和~提醒功能,功能鸡肋,
96,外形外观 比较大气  做工质量 一般  操作难易 简单  准确性 计步不准  灵敏度 功能比较单一，貌似就是一块电子表,数据不准,
102,显示有点暗，不认真看都看不清,屏幕出问题#操作不便,
114,我觉得这只表有个问题 蓝牙老是断线，到底是怎么回事呀，你们是不是拿的次品货给我呀？,蓝牙不稳定,
126,外形外观 适合年轻人，不能充电，需要更换电池，连接手机长时间肯定耗损大。就是一个时间。其他功能鸡肋。,操作不便,
138,太大了带手上感觉不太舒服。还是买个小的吧，不知道换完电子还防水不！,做工很差,
150,蓝牙老掉，差差差,蓝牙不稳定,
162,有点大不好看,产品不好看,
174,表带特别紧特别紧，非常难扣,佩戴不舒适,
186,其他特色 价格变动太快，买不到两周，就降价了。,买完降价,
198,高手啊，不过吃一堑长一智，以后要谨慎下单了?,产品垃圾,
210,设计方面，老年人不好用。建议送老人不要买这款。麻烦。,功能鸡肋,
222,难道我的是假的？怎么没没那么好？??,产品垃圾,
234,数据无法同步，商家态度差,客服态度差#蓝牙不稳定,
246,数据经常无法同步，体验效果差,蓝牙不稳定,
258,以前用的某微，转战乐心后发现来电u k ow 、信息提醒时有时无、信息无存储，实在不能适应，我选择退货了。,产品垃圾,
270,能不上车就不上车吧，品控很一般，虽然售后不错给我换了个新的。但是会卡步数，就突然有那么几分钟步数不会动。昨天打卡gg了，算了吧问题不大。有机会就买米家的吧，来消息通知也有。,操作不便,
282,刚买了不到一个星期降价了 很不高兴,买完降价,
294,没触屏的，手动也不灵敏。差评！,操作不便,
306,表带太难带了，扣子压到手红都搞不下去???,佩戴不舒适,
318,垃圾，充电器也没有，跟上架的不一样。**。,产品垃圾,
330,质量真差，戴了没几天，一个卡扣竟然坏了，无语?,做工很差,
342,刚买回来不到一个月就坏了，这难道是玩具吗？亏我花了168大洋！以后谁敢买乐心啊！,产品垃圾,
354,手环很垃圾，发的库存货，我2020年11月左右买的，发的手环生产日期却是2019年11月的，不建议大家购买,产品垃圾,
